disc_yr,edb,nb_connections,line_length
2013,Alpine Energy,31216,4126
2013,Aurora Energy,83305,5542.64220503594
2013,Buller Electricity,4578,633.9
2013,Centralines,8328,1723.14323981162
2013,Counties Energy,37511,3062.499
2013,EA Networks,17727.3333333333,2963.963
2013,Electra,42810,2256
2013,Electricity Invercargill,17247.1380815833,657.01634
2013,Firstlight Network,25556,3645.353
2013,Horizon Energy,24734.0596175809,2372.63
2013,MainPower NZ,36718,4812
2013,Marlborough Lines,24445,3300.125
2013,Nelson Electricity,9102.5,256.75
2013,Network Tasman,37293,3374
2013,Network Waitaki,12335,1743.258
2013,Northpower,54143,5771.3
2013,Orion NZ,189968,10906.6073895194
2013,OtagoNet,14801.2727272727,4394.06484
2013,Powerco,322161.5,28879.3553046613
2013,Scanpower,6770,1046
2013,The Lines Company,23508,4340.03041000001
2013,The Power Company,34578,8690.07938
2013,Top Energy,30606,3922.54
2013,Unison Networks,109315.583333333,8035.95855400035
2013,Vector Lines,536085.833333334,17848.914228
2013,WEL Networks,84710.5,5199.260659029
2013,Waipa Networks,23832,2076.44004
2013,Wellington Electricity,164804.166666667,4628.68805713156
2013,Westpower,13092,2224
2014,Alpine Energy,31413,4145
2014,Aurora Energy,83945,5796
2014,Buller Electricity,4598,638.3
2014,Centralines,8398,1953.38358900003
2014,Counties Energy,38148,3075.067
2014,EA Networks,18087.8333333333,2990.85522
2014,Electra,41982,2263
2014,Electricity Invercargill,17201.4647126667,657.1997
2014,Firstlight Network,25450,3650.5113490136
2014,Horizon Energy,24731.8000527453,2381.36794
2014,MainPower NZ,38300,4839.2
2014,Marlborough Lines,24522.6666666667,3371.226
2014,Nelson Electricity,9171,266.343
2014,Network Tasman,37553.6213452612,3395
2014,Network Waitaki,12122,1905.94707
2014,Northpower,54641,5870.56459999998
2014,Orion NZ,189116,10855.8
2014,OtagoNet,14782.25,4544.85717
2014,Powerco,324593,27731.452661
2014,Scanpower,6694.5,1045.507
2014,The Lines Company,23595,4250.62714000002
2014,The Power Company,34614.25,8808.81128
2014,Top Energy,30668,3955.34196
2014,Unison Networks,110029,8897.03416700026
2014,Vector Lines,540125,17961
2014,WEL Networks,85809.5,5241.162095392
2014,Waipa Networks,24203,2099.59162
2014,Wellington Electricity,164797.331506849,4638.7299271932
2014,Westpower,13194,2251.843805
2015,Alpine Energy,31672,4180
2015,Aurora Energy,85007,5814.67985176855
2015,Buller Electricity,4606,640.9
2015,Centralines,8438.5,1944.71828499999
2015,Counties Energy,38856,3124.981
2015,EA Networks,18418.9166666667,3012
2015,Electra,39665,2256
2015,Electricity Invercargill,17317,661.51382
2015,Firstlight Network,25392,3954.03516702503
2015,Horizon Energy,24760.3333333333,2494.34505
2015,MainPower NZ,42698,4899.831
2015,Marlborough Lines,24674.0833333333,3380.467
2015,Nelson Electricity,9214,290.886
2015,Network Tasman,38014,3570.9
2015,Network Waitaki,12554,1928.14939
2015,Northpower,56485,5894.05047
2015,Orion NZ,190045,11005.9170509119
2015,OtagoNet,14781,4627.89579
2015,Powerco,327385.5,27832.707505
2015,Scanpower,6688.5,1055
2015,The Lines Company,23584,4330.14003896896
2015,The Power Company,35090,8808.497375
2015,Top Energy,30771,3979.72
2015,Unison Networks,110575.833333333,9083.12091699993
2015,Vector Lines,540539,18116.144
2015,WEL Networks,86738,5297.614156099
2015,Waipa Networks,24598,2116.71049
2015,Wellington Electricity,165689.909340659,4683.59341411831
2015,Westpower,13316,2259.509
2016,Alpine Energy,31936,4271.39746448848
2016,Aurora Energy,85966,5877.50708880034
2016,Buller Electricity,4605,640.1
2016,Centralines,8465.66666666666,1901.97591800002
2016,Counties Energy,39747,3185.14519881686
2016,EA Networks,18774.1666666667,3024.1
2016,Electra,44206,2256
2016,Electricity Invercargill,17372,669.92492
2016,Firstlight Network,25415,3952.56388971861
2016,Horizon Energy,24818,2513.50479
2016,MainPower NZ,36811,4959.4
2016,Marlborough Lines,24870,3383.2134
2016,Nelson Electricity,9206.5,294.625
2016,Network Tasman,38535,3569.8
2016,Network Waitaki,12640.5530054645,1960
2016,Northpower,57247,5938.91581999999
2016,Orion NZ,192857,11193.4547923729
2016,OtagoNet,15440,4663.90804
2016,Powerco,330577,27903.905121
2016,Scanpower,6681,1040
2016,The Lines Company,23652,4368.71043659126
2016,The Power Company,35474,8844.8353
2016,Top Energy,31025,4016.151
2016,Unison Networks,111045.333333333,9002.45320999999
2016,Vector Lines,545968,18265.681
2016,WEL Networks,87703.3333333334,5338.294616
2016,Waipa Networks,25099,2135.94657
2016,Wellington Electricity,166590.526027397,4697.47540113533
2016,Westpower,13402.167,2278.86
2017,Alpine Energy,32829,4191.095
2017,Aurora Energy,87102.0356164384,6135
2017,Buller Electricity,4579.04166666667,641.9
2017,Centralines,8496,1797.594088
2017,Counties Energy,40794,3239.399359937
2017,EA Networks,18986.1666666667,3080.25
2017,Electra,44565.4166666667,2248
2017,Electricity Invercargill,17364,664.570830000002
2017,Firstlight Network,25407,3951.70578260526
2017,Horizon Energy,24913,2519.59184
2017,MainPower NZ,37442,4987.2
2017,Marlborough Lines,25132.6666666667,3395.94383394595
2017,Nelson Electricity,9202.5,294.797
2017,Network Tasman,39028,3581
2017,Network Waitaki,12710,1879.48
2017,Northpower,57952,5981.19952000001
2017,Orion NZ,196421,11240.7215453138
2017,OtagoNet,15623,4690.83975
2017,Powerco,334042,28034.445578
2017,Scanpower,6690,1047
2017,The Lines Company,23691,4346.58905
2017,The Power Company,35507,8882.75311000013
2017,Top Energy,31365,4030.0062
2017,Unison Networks,111842,9181.86654699996
2017,Vector Lines,551728,18455.3717600969
2017,WEL Networks,89079.6666666667,5366.944793
2017,Waipa Networks,25614,2187.16085
2017,Wellington Electricity,166344,4700.96999958546
2017,Westpower,13448,2291.005
2018,Alpine Energy,32975,4288
2018,Aurora Energy,88588.098630137,6682.91
2018,Buller Electricity,4624,642.1
2018,Centralines,8561,1804.083667
2018,Counties Energy,41704,3234.547907116
2018,EA Networks,19216.5833333333,3123.9
2018,Electra,44395.5833333333,2275
2018,Electricity Invercargill,17404,656.07072
2018,Firstlight Network,25512,3950.61276131506
2018,Horizon Energy,25000,2522.03761
2018,MainPower NZ,38232,5019.7
2018,Marlborough Lines,25374.0833333333,3385.60697707127
2018,Nelson Electricity,9209.5,296.812
2018,Network Tasman,39578,3594
2018,Network Waitaki,12814,1896.5176
2018,Northpower,58430,6017.39806
2018,Orion NZ,199838,11351.0023164433
2018,OtagoNet,16000,4588.56244000002
2018,Powerco,337134.5,28114.511094
2018,Scanpower,6665,1050
2018,The Lines Company,23768,4423.07493
2018,The Power Company,35698,8826.1380949997
2018,Top Energy,31641,4051.24
2018,Unison Networks,112781,9244.71158899999
2018,Vector Lines,557490,18658.018
2018,WEL Networks,90601,5397.529089
2018,Waipa Networks,26077,2211.78594
2018,Wellington Electricity,166909.583333333,4724.55521528412
2018,Westpower,13526,2293.869
2019,Alpine Energy,33211.5,4316.94
2019,Aurora Energy,89865.898630137,6575.00282406289
2019,Buller Electricity,4667,641.67
2019,Centralines,8623,1806.50240793856
2019,Counties Energy,42458,3251.2265001793
2019,EA Networks,19440.5833333333,3083.4
2019,Electra,44799.0833333333,2288.96552102946
2019,Electricity Invercargill,17420,658.02086
2019,Firstlight Network,25597,3948.81126003133
2019,Horizon Energy,25136,2588
2019,MainPower NZ,39624,5021.3
2019,Marlborough Lines,25629,3359.86448877014
2019,Nelson Electricity,9220.5,297.553
2019,Network Tasman,39970,3613.6
2019,Network Waitaki,12933,1890.395163873
2019,Northpower,59380,6053.21081000001
2019,Orion NZ,202956,11452.322
2019,OtagoNet,16588,4605.79468000005
2019,Powerco,340378,28322.220612
2019,Scanpower,6658.5,1050
2019,The Lines Company,23579,4384.62589
2019,The Power Company,35958,8852.91119263907
2019,Top Energy,32156,4061.91
2019,Unison Networks,113676,9290.35172899999
2019,Vector Lines,565200,18707.658
2019,WEL Networks,91970.5,5456.804693
2019,Waipa Networks,26672,2230.65573
2019,Wellington Electricity,167924.777777778,4745.53102509582
2019,Westpower,13618,2297.675
2020,Alpine Energy,33445.5,4322.84
2020,Aurora Energy,91071,6101.08625937128
2020,Buller Electricity,4683,643.484351671124
2020,Centralines,8734,1812.955956
2020,Counties Energy,43485.3333333333,3369.35659883889
2020,EA Networks,19671.8333333333,3073.89413
2020,Electra,45192.1590909091,2323.41858930502
2020,Electricity Invercargill,17411,658.4186
2020,Firstlight Network,25658,3948.62042669913
2020,Horizon Energy,25254.6034946237,2597.32166
2020,MainPower NZ,40515,5038.8
2020,Marlborough Lines,25854.75,3412
2020,Nelson Electricity,9247.5,297.843
2020,Network Tasman,40281.5,3640.6
2020,Network Waitaki,13040,1871
2020,Northpower,60267,6085.72384
2020,Orion NZ,206000,11543.002251
2020,OtagoNet,17205,4615.00037000006
2020,Powerco,344184,28441.207031
2020,Scanpower,6668.5,1050
2020,The Lines Company,23687,4313.707
2020,The Power Company,36282,8839.39902499996
2020,Top Energy,32536.5075757576,4060.64
2020,Unison Networks,114599,9312.79565299998
2020,Vector Lines,573860,18949.526
2020,WEL Networks,93502,5515.2
2020,Waipa Networks,27217,2268.11442
2020,Wellington Electricity,169045.166666667,4764.92874897638
2020,Westpower,13735,2297.736
2021,Alpine Energy,33699.5,4349.16
2021,Aurora Energy,92095.6579534396,6161.26
2021,Buller Electricity,4709,646.196585843298
2021,Centralines,8889,1827.919743
2021,Counties Energy,44514,3427
2021,EA Networks,20001.0833333333,3109.69017999997
2021,Electra,45561.6439393939,2330.46070664545
2021,Electricity Invercargill,17419,663.96897
2021,Firstlight Network,25783,3945.082
2021,Horizon Energy,25416.3333333333,2604.91166
2021,MainPower NZ,42117,5164.52
2021,Marlborough Lines,26425.5,3391.41162929271
