edb,disc_yr,sub_category,peak,capacity,status
Alpine Energy,2013,Albury,2.37,0,NonExempt
Alpine Energy,2013,Balmoral,0,0,NonExempt
Alpine Energy,2013,Bell's Pond,6.07,0,NonExempt
Alpine Energy,2013,Clandeboye 1,13,20,NonExempt
Alpine Energy,2013,Clandeboye 2,12,25,NonExempt
Alpine Energy,2013,Fairlie,2.37,0,NonExempt
Alpine Energy,2013,Geraldine,6.52,0,NonExempt
Alpine Energy,2013,Glentanner,0.2,0,NonExempt
Alpine Energy,2013,Haldon Lilybank,0.3,0,NonExempt
Alpine Energy,2013,Pareora,7.81,15,NonExempt
Alpine Energy,2013,Pleasant Point,3.62,0,NonExempt
Alpine Energy,2013,Rangitata,6.52,15,NonExempt
Alpine Energy,2013,Studholme,10.38,11,NonExempt
Alpine Energy,2013,Tekapo Village,2.68,0,NonExempt
Alpine Energy,2013,Temuka,12,25,NonExempt
Alpine Energy,2013,Timaru 11/33,12.25,25,NonExempt
Alpine Energy,2013,Twizel Village,2.83,3,NonExempt
Alpine Energy,2013,Unwin Hut,1.11,0,NonExempt
Alpine Energy,2014,Albury,2.37,0,NonExempt
Alpine Energy,2014,Balmoral,0,0,NonExempt
Alpine Energy,2014,Bell's Pond,7.02,0,NonExempt
Alpine Energy,2014,Clandeboye 1,13,20,NonExempt
Alpine Energy,2014,Clandeboye 2,12,25,NonExempt
Alpine Energy,2014,Fairlie,2.37,0,NonExempt
Alpine Energy,2014,Geraldine,6.52,0,NonExempt
Alpine Energy,2014,Glentanner,0.2,0,NonExempt
Alpine Energy,2014,Haldon Lilybank,0.3,0,NonExempt
Alpine Energy,2014,Pareora,8.1,15,NonExempt
Alpine Energy,2014,Pleasant Point,4.01,0,NonExempt
Alpine Energy,2014,Rangitata,7.76,15,NonExempt
Alpine Energy,2014,Studholme,11.09,11,NonExempt
Alpine Energy,2014,Tekapo Village,2.94,0,NonExempt
Alpine Energy,2014,Temuka,12,25,NonExempt
Alpine Energy,2014,Timaru 11/33,12.25,25,NonExempt
Alpine Energy,2014,Twizel Village,2.74,3,NonExempt
Alpine Energy,2014,Unwin Hut,1.11,0,NonExempt
Alpine Energy,2015,Albury (ABY),4.3,0,NonExempt
Alpine Energy,2015,Balmoral (BML),0.15,0,NonExempt
Alpine Energy,2015,Bell's Pond (BPD),7.4,0,NonExempt
Alpine Energy,2015,Clandeboye 1 (CD1),16,20,NonExempt
Alpine Energy,2015,Clandeboye 2 (CD2),14,25,NonExempt
Alpine Energy,2015,Cooney's Road (CNR),0,0,NonExempt
Alpine Energy,2015,Fairlie (FLE),2.4,0,NonExempt
Alpine Energy,2015,Geraldine (GLD),6.1,0,NonExempt
Alpine Energy,2015,Glentanner (GTN),0.2,0,NonExempt
